origin,destination,search_date,departure_date,days_ahead,price
CWB,SSA,2025-02-19,2025-05-07,77,374.33
BSB,NAT,2025-03-13,2025-04-26,44,904.33
CWB,GIG,2025-01-16,2025-01-23,7,847.1
NAT,CGH,2025-05-06,2025-08-02,88,398.07
FOR,GIG,2025-09-03,2025-10-31,58,532.56
REC,GIG,2024-10-23,2025-01-17,86,440.1
CGH,CWB,2025-03-09,2025-03-23,14,445.94
CGB,FOR,2025-06-14,2025-09-11,89,225.92
FLN,BEL,2024-10-15,2024-11-15,31,572.92
CGB,SDU,2025-07-09,2025-09-07,60,221.95
FLN,CGB,2025-06-08,2025-06-17,9,806.06
REC,SSA,2025-05-02,2025-06-30,59,808.48
FLN,FOR,2025-07-14,2025-08-12,29,931.3
REC,SDU,2024-12-01,2025-02-08,69,672.44
CGB,BSB,2025-06-06,2025-08-05,60,1058.22
BEL,SSA,2025-05-18,2025-06-22,35,322.42
CGB,NAT,2025-07-13,2025-10-07,86,628.03
SDU,GIG,2025-06-11,2025-06-12,1,1496.66
BSB,VCP,2025-06-07,2025-06-18,11,305.79
BEL,NAT,2025-04-10,2025-06-30,81,1075.46
CGH,GRU,2025-02-24,2025-03-31,35,235.55
CWB,GRU,2024-10-06,2024-10-16,10,546.49
CGB,BSB,2025-07-04,2025-07-11,7,510.09
GRU,BEL,2025-08-11,2025-09-29,49,895.38
GRU,SSA,2025-06-21,2025-08-11,51,711.9
FOR,SDU,2024-09-21,2024-11-27,67,688.42
CGH,CWB,2025-04-23,2025-05-06,13,998.49
CGB,CGH,2024-11-06,2024-11-18,12,926.32
FOR,VCP,2025-08-23,2025-10-23,61,753.44
SSA,BEL,2025-07-21,2025-08-01,11,290.95
GRU,CWB,2025-05-05,2025-07-25,81,203.33
BSB,CGH,2025-06-22,2025-07-22,30,461.35
GIG,CGB,2025-06-17,2025-07-20,33,1096.91
FLN,POA,2025-04-06,2025-04-09,3,609.69
REC,NAT,2025-01-20,2025-03-01,40,1078.19
FOR,REC,2024-11-29,2025-01-14,46,644.86
CGH,SDU,2025-08-17,2025-09-17,31,665.99
NAT,SDU,2025-06-08,2025-08-31,84,667.12
GIG,SSA,2025-04-02,2025-05-21,49,386.18
VCP,SSA,2024-10-25,2025-01-04,71,742.7
CWB,FLN,2025-02-08,2025-02-10,2,557.19
GIG,SSA,2024-11-16,2024-11-19,3,922.67
REC,SDU,2025-01-11,2025-01-31,20,256.98
GRU,CWB,2024-11-26,2025-01-04,39,775.19
CGB,NAT,2024-10-02,2024-12-15,74,551.8
VCP,REC,2025-06-26,2025-09-15,81,654.3
CGB,CGH,2024-10-15,2024-11-29,45,346.6
POA,BEL,2024-10-18,2025-01-06,80,486.33
GIG,NAT,2024-11-26,2025-02-12,78,824.2
NAT,BSB,2024-12-31,2025-02-11,42,830.66
CGB,CWB,2025-07-28,2025-08-18,21,171.65
SSA,FOR,2024-11-25,2024-12-06,11,743.54
FLN,POA,2024-10-18,2024-11-15,28,337.83
CWB,GRU,2025-03-30,2025-05-16,47,603.8
REC,POA,2024-12-13,2025-02-19,68,948.86
CGH,SSA,2025-01-27,2025-02-03,7,664.5
CWB,FOR,2025-03-16,2025-05-05,50,234.13
CGH,VCP,2025-07-26,2025-09-08,44,815.19
NAT,BSB,2025-04-11,2025-05-30,49,541.89
SSA,CWB,2024-10-07,2024-10-09,2,746.96
NAT,CGH,2024-11-16,2025-01-17,62,610.84
CGB,BSB,2025-06-18,2025-08-14,57,1015.01
GRU,GIG,2025-08-07,2025-09-16,40,802.81
CWB,GRU,2025-03-19,2025-05-18,60,349.34
BEL,SSA,2025-03-26,2025-06-09,75,894.87
BSB,SSA,2025-07-16,2025-10-09,85,714.67
FOR,BSB,2025-03-23,2025-04-28,36,827.49
REC,BEL,2025-06-20,2025-06-26,6,854.07
FLN,CGB,2025-05-14,2025-06-05,22,693.02
CGB,REC,2025-03-20,2025-05-13,54,882.56
FLN,CGH,2025-03-29,2025-05-24,56,487.34
REC,NAT,2025-06-16,2025-08-26,71,544.78
FLN,GIG,2025-01-31,2025-03-08,36,396.77
SSA,SDU,2024-10-26,2024-11-05,10,425.83
CGH,NAT,2025-01-14,2025-03-14,59,1002.9
FOR,BSB,2024-09-06,2024-11-01,56,551.25
POA,SDU,2025-01-24,2025-04-06,72,225.62
FLN,CGH,2024-10-11,2024-11-21,41,304.28
FLN,GIG,2024-11-20,2025-01-25,66,556.63
VCP,GIG,2025-03-08,2025-03-13,5,312.43
POA,REC,2025-04-26,2025-06-25,60,302.27
REC,VCP,2024-11-18,2025-01-13,56,838.21
BEL,REC,2024-11-01,2024-11-07,6,596.57
GIG,FLN,2025-07-25,2025-09-18,55,1113.1
CWB,BEL,2025-08-04,2025-08-19,15,535.02
REC,GRU,2025-01-05,2025-03-09,63,358.41
CGB,FOR,2025-05-01,2025-05-28,27,838.74
POA,REC,2024-09-27,2024-11-25,59,250.07
SSA,GIG,2025-05-12,2025-06-06,25,201.28
VCP,POA,2025-01-12,2025-04-06,84,212.79
CGH,FOR,2025-03-17,2025-03-24,7,412.37
CGB,FLN,2025-04-30,2025-05-18,18,389.99
NAT,GRU,2025-07-31,2025-10-27,88,1047.67
VCP,FLN,2025-04-07,2025-04-18,11,420.76
SDU,CGB,2024-09-22,2024-11-02,41,248.68
FLN,CGH,2025-01-26,2025-04-24,88,554.45
FOR,BEL,2025-07-07,2025-09-07,62,341.17
SDU,REC,2025-05-11,2025-06-30,50,1143.65
FOR,CGH,2025-04-14,2025-05-14,30,351.34
GIG,GRU,2025-08-04,2025-10-26,83,214.15
GIG,VCP,2025-06-03,2025-06-26,23,846.88
CGH,GIG,2024-09-27,2024-12-19,83,499.3
CWB,FLN,2024-09-21,2024-11-16,56,587.41
FOR,CGB,2024-12-09,2025-01-06,28,613.89
GRU,BSB,2024-12-31,2025-02-06,37,674.14
SSA,BSB,2025-06-11,2025-06-26,15,442.98
CGB,BEL,2025-04-21,2025-06-27,67,298.71
CGH,CGB,2024-11-09,2025-01-16,68,855.42
CWB,SSA,2025-04-05,2025-06-11,67,750.05
NAT,FOR,2025-01-29,2025-03-23,53,1055.57
SDU,CWB,2025-06-29,2025-09-01,64,823.29
CGH,NAT,2024-10-16,2024-12-06,51,210.88
VCP,NAT,2024-11-17,2024-12-17,30,632.22
BEL,REC,2025-06-30,2025-09-12,74,335.27
POA,VCP,2025-06-01,2025-06-06,5,559.12
SSA,SDU,2024-09-14,2024-10-07,23,768.71
GRU,REC,2025-08-14,2025-08-21,7,535.85
FLN,BEL,2025-08-21,2025-08-29,8,293.77
CGH,SSA,2024-09-19,2024-11-02,44,1033.04
GRU,SDU,2025-03-06,2025-04-16,41,484.63
FOR,GRU,2025-07-31,2025-08-09,9,977.1
CWB,VCP,2025-05-10,2025-07-30,81,599.41
CGH,CWB,2025-03-27,2025-06-08,73,1045.19
BSB,GIG,2025-03-25,2025-05-09,45,1080.96
CWB,CGH,2025-05-25,2025-07-12,48,880.26
GIG,SSA,2024-12-20,2025-01-04,15,845.89
GIG,NAT,2024-11-15,2024-11-17,2,309.49
BSB,GIG,2024-10-17,2024-12-31,75,526.81
REC,BEL,2024-12-03,2025-01-22,50,482.73
POA,BSB,2025-06-05,2025-06-11,6,903.45
BEL,SSA,2025-04-06,2025-07-05,90,876.17
POA,SDU,2024-12-29,2024-12-30,1,1269.73
CGH,FOR,2024-09-26,2024-11-09,44,787.29
BEL,BSB,2025-06-12,2025-07-21,39,754.32
POA,GRU,2024-10-26,2024-11-25,30,338.84
BEL,CGH,2025-05-21,2025-08-05,76,458.52
GIG,CWB,2025-07-26,2025-10-07,73,191.01
BEL,FLN,2024-12-02,2025-01-21,50,680.56
CGH,SSA,2024-09-15,2024-11-27,73,479.46
VCP,GIG,2025-02-19,2025-02-22,3,496.58
BEL,CGB,2025-02-09,2025-04-20,70,872.04
NAT,FLN,2025-02-21,2025-02-22,1,1114.57
SDU,FOR,2025-06-17,2025-08-17,61,403.03
POA,VCP,2025-08-09,2025-10-16,68,598.67
POA,CWB,2025-05-19,2025-06-12,24,630.38
GRU,SDU,2025-08-23,2025-08-26,3,1111.73
CWB,FOR,2025-06-14,2025-07-26,42,777.53
REC,FLN,2024-11-11,2025-02-08,89,1082.27
CGH,FOR,2025-06-15,2025-07-22,37,476.8
VCP,POA,2025-08-04,2025-10-20,77,922.05
GRU,POA,2025-05-12,2025-07-08,57,600.78
NAT,FOR,2024-09-06,2024-09-16,10,528.1
CGH,GRU,2025-01-05,2025-03-10,64,667.75
SSA,FLN,2024-09-18,2024-11-27,70,457.37
VCP,NAT,2024-10-15,2025-01-03,80,633.4
SDU,CWB,2025-07-03,2025-09-08,67,942.22
BSB,REC,2025-03-01,2025-04-15,45,840.78
REC,BSB,2025-01-18,2025-04-02,74,895.97
SSA,CGH,2025-03-28,2025-04-17,20,636.44
CGB,SSA,2025-02-04,2025-05-03,88,310.22
BSB,BEL,2025-05-31,2025-08-18,79,336.92
CWB,FOR,2024-09-07,2024-10-10,33,681.77
FLN,CGH,2025-05-16,2025-08-03,79,849.41
CGH,FLN,2024-11-19,2025-01-21,63,283.67
CWB,FOR,2024-09-07,2024-10-01,24,871.23
SDU,GRU,2025-06-27,2025-08-25,59,551.74
GRU,FOR,2024-11-23,2024-12-12,19,406.4
CWB,FLN,2025-08-22,2025-09-19,28,244.25
CGB,FOR,2024-12-08,2025-02-24,78,768.9
VCP,GIG,2025-04-02,2025-06-04,63,957.5
BEL,SDU,2025-08-20,2025-09-25,36,235.86
CWB,SSA,2024-10-09,2024-10-13,4,507.59
SSA,GRU,2025-04-23,2025-07-17,85,353.71
BEL,NAT,2025-01-03,2025-03-21,77,243.92
VCP,BSB,2025-01-11,2025-02-13,33,637.74
CGB,FOR,2025-04-05,2025-04-22,17,244.58
CWB,REC,2025-04-18,2025-05-04,16,279.19
CWB,BSB,2025-08-12,2025-10-20,69,804.1
BSB,CGB,2024-09-27,2024-12-19,83,277.14
GIG,NAT,2025-06-01,2025-08-02,62,573.92
SSA,NAT,2025-02-10,2025-05-08,87,281.93
NAT,SSA,2025-01-09,2025-01-15,6,877.76
FLN,VCP,2025-08-03,2025-09-27,55,866.07
CGH,SDU,2025-05-14,2025-05-25,11,870.31
FOR,SDU,2025-05-03,2025-05-07,4,993.57
SSA,GRU,2025-01-29,2025-04-02,63,239.63
REC,SSA,2025-01-26,2025-02-11,16,772.06
CGB,GIG,2025-06-18,2025-06-27,9,773.9
VCP,POA,2025-07-10,2025-09-03,55,903.59
FLN,SSA,2025-09-03,2025-11-13,71,720.05
CGH,NAT,2025-03-22,2025-04-15,24,878.32
BSB,BEL,2025-03-08,2025-05-30,83,264.88
CGH,BSB,2025-03-17,2025-05-04,48,443.23
GIG,FOR,2025-04-13,2025-06-18,66,600.96
CGB,SSA,2024-09-11,2024-12-09,89,597.17
BSB,FLN,2025-02-08,2025-03-09,29,947.94
CGB,SSA,2025-07-23,2025-10-04,73,1025.58
FLN,CWB,2025-07-04,2025-09-18,76,488.97
CGB,CGH,2025-06-02,2025-08-27,86,322.45
POA,CWB,2025-02-17,2025-04-27,69,343.3
FLN,GIG,2024-12-31,2025-03-15,74,329.05
VCP,GIG,2025-07-04,2025-07-08,4,679.05
SSA,BSB,2025-04-18,2025-05-03,15,423.35
FOR,GIG,2025-02-12,2025-02-18,6,501.22
NAT,VCP,2025-05-13,2025-06-23,41,590.32
CWB,SDU,2025-07-27,2025-08-03,7,385.17
GRU,POA,2024-12-28,2025-03-04,66,288.72
BEL,GRU,2024-12-11,2025-01-19,39,490.4
VCP,FLN,2024-11-26,2025-02-12,78,945.8
GRU,VCP,2025-01-21,2025-02-26,36,409.63
BEL,FOR,2025-04-27,2025-05-20,23,1014.23
CGB,FOR,2025-09-05,2025-11-12,68,705.55
SSA,NAT,2025-01-08,2025-01-29,21,891.05
POA,GRU,2025-07-09,2025-08-03,25,805.22
GIG,REC,2025-05-27,2025-07-25,59,403.01
CWB,GIG,2025-04-28,2025-05-01,3,222.37
SSA,GRU,2025-08-14,2025-10-05,52,334.86
VCP,SSA,2025-03-31,2025-05-15,45,540.91
FOR,GRU,2025-08-04,2025-10-28,85,364.64
CGH,CGB,2025-08-02,2025-10-23,82,1175.83
FLN,CWB,2025-05-01,2025-07-21,81,770.02
BSB,GRU,2025-07-18,2025-08-06,19,449.08
GRU,POA,2025-06-14,2025-06-25,11,540.12
GRU,VCP,2024-09-06,2024-11-19,74,656.33
BSB,FLN,2024-09-19,2024-11-04,46,206.81
SDU,VCP,2025-01-30,2025-02-06,7,504.3
CWB,FOR,2024-10-23,2025-01-05,74,662.98
BEL,GIG,2024-11-19,2025-01-16,58,488.48
CGB,POA,2024-11-06,2024-12-20,44,949.03
CWB,GRU,2025-08-20,2025-09-03,14,883.76
CGB,BSB,2025-01-09,2025-03-04,54,631.15
REC,CWB,2024-11-26,2025-01-19,54,1042.97
GRU,CGB,2025-02-08,2025-04-03,54,1092.01
CWB,SSA,2025-03-07,2025-06-05,90,928.56
POA,GIG,2025-03-07,2025-04-29,53,449.01
CGB,CGH,2025-03-18,2025-04-23,36,234.47
POA,SDU,2025-05-21,2025-06-07,17,832.9
CGH,SDU,2025-03-22,2025-05-12,51,652.96
CGH,POA,2024-12-01,2024-12-28,27,965.26
POA,NAT,2025-02-04,2025-03-11,35,250.36
GIG,BSB,2025-08-23,2025-10-12,50,886.57
SSA,VCP,2025-04-27,2025-07-20,84,827.42
REC,CGH,2025-02-06,2025-02-18,12,621.36
CWB,CGH,2024-09-30,2024-11-21,52,285.01
CGB,BSB,2024-09-11,2024-10-23,42,684.89
VCP,SSA,2024-12-30,2025-03-19,79,545.44
FLN,POA,2024-10-19,2025-01-06,79,565.17
SSA,FLN,2024-09-21,2024-12-11,81,994.75
FOR,POA,2024-11-29,2025-01-02,34,257.17
REC,CGB,2025-03-19,2025-03-28,9,629.29
BSB,SDU,2024-09-21,2024-11-17,57,1091.53
BSB,CGH,2024-11-10,2025-02-04,86,294.28
BSB,CGH,2024-12-22,2025-02-02,42,833.58
CWB,BSB,2025-06-26,2025-08-06,41,883.64
CWB,CGH,2024-09-09,2024-09-12,3,510.51
REC,BSB,2025-03-28,2025-05-07,40,842.78
REC,SSA,2024-09-10,2024-12-09,90,595.35
POA,SSA,2025-08-01,2025-08-04,3,573.39
CGB,NAT,2025-04-30,2025-05-22,22,339.41
FOR,SSA,2025-05-04,2025-06-12,39,947.93
CGB,SDU,2025-03-28,2025-06-21,85,586.81
VCP,CGB,2024-12-20,2025-03-14,84,268.78
GRU,CWB,2024-09-07,2024-11-28,82,363.33
POA,FLN,2025-05-17,2025-06-09,23,372.38
GRU,BEL,2025-07-02,2025-07-07,5,379.01
NAT,FLN,2025-02-09,2025-03-31,50,646.94
GIG,NAT,2025-07-28,2025-09-29,63,479.6
BEL,VCP,2025-03-18,2025-05-05,48,903.67
FOR,FLN,2025-04-12,2025-05-31,49,902.9
BEL,SSA,2025-01-04,2025-03-03,58,764.15
FOR,CWB,2025-08-01,2025-09-20,50,503.91
REC,VCP,2025-05-30,2025-08-04,66,358.56
NAT,CGH,2025-01-13,2025-03-31,77,414.91
CGB,NAT,2024-11-30,2025-01-12,43,760.01
CGB,SDU,2025-04-03,2025-04-19,16,642.67
CGB,BEL,2025-03-05,2025-04-11,37,765.67
GIG,CGB,2025-04-15,2025-06-05,51,760.11
SDU,FOR,2025-03-05,2025-04-21,47,550.69
CWB,BEL,2024-12-16,2025-01-23,38,781.81
NAT,SDU,2024-12-12,2025-01-26,45,287.61
CWB,FLN,2025-08-14,2025-09-02,19,726.83
GIG,SSA,2025-04-21,2025-06-11,51,620.8
SDU,FOR,2025-01-21,2025-03-27,65,752.12
POA,CGB,2025-04-30,2025-07-14,75,870.8
CGB,VCP,2024-11-17,2025-01-03,47,617.99
BSB,CGH,2025-02-28,2025-04-25,56,310.3
POA,GRU,2025-03-25,2025-04-03,9,718.97
BEL,GIG,2025-07-05,2025-08-07,33,446.91
POA,CGH,2025-05-14,2025-07-12,59,295.35
SDU,NAT,2025-03-22,2025-04-02,11,272.15
VCP,SDU,2024-11-28,2025-01-08,41,340.41
GIG,CWB,2025-03-15,2025-04-10,26,650.89
POA,FOR,2025-06-28,2025-09-13,77,524.6
SDU,GIG,2025-09-02,2025-10-16,44,860.71
NAT,GRU,2025-09-04,2025-10-13,39,440.71
SSA,CWB,2025-07-25,2025-10-22,89,676.07
VCP,BEL,2024-11-30,2024-12-26,26,583.87
SDU,FOR,2024-11-05,2025-01-31,87,834.56
NAT,CWB,2025-02-03,2025-02-14,11,891.95
VCP,BEL,2024-11-06,2025-01-29,84,539.89
CWB,POA,2025-06-15,2025-08-30,76,768.46
POA,FLN,2025-01-27,2025-02-16,20,847.37
BSB,CGH,2025-02-05,2025-04-15,69,487.06
CWB,SSA,2025-06-04,2025-06-27,23,614.16
POA,VCP,2024-12-30,2025-03-27,87,305.57
CGB,FLN,2025-04-28,2025-05-09,11,429.6
NAT,GRU,2025-08-09,2025-08-14,5,215.31
CWB,BEL,2024-11-29,2025-01-02,34,806.89
CGH,NAT,2025-07-04,2025-08-15,42,205.38
SSA,GIG,2025-08-09,2025-08-10,1,865.05
BEL,SSA,2025-08-17,2025-09-08,22,791.98
NAT,BEL,2025-05-04,2025-07-24,81,815.77
SDU,CGH,2025-03-01,2025-05-14,74,577.77
BSB,CGH,2025-05-15,2025-07-09,55,319.68
BSB,SSA,2024-11-14,2025-01-13,60,1144.9
VCP,BEL,2025-04-22,2025-07-17,86,275.88
NAT,BSB,2025-06-03,2025-07-01,28,332.95
CWB,BEL,2025-08-23,2025-11-06,75,214.43
FOR,NAT,2024-10-24,2024-12-21,58,1008.66
FLN,GIG,2025-04-13,2025-06-01,49,442.79
CGB,REC,2024-12-13,2025-02-05,54,252.1
BSB,VCP,2025-07-08,2025-07-09,1,1080.85
CGB,POA,2024-09-22,2024-11-20,59,950.33
NAT,POA,2025-05-09,2025-06-27,49,651.0
SDU,CWB,2024-12-31,2025-03-23,82,856.15
SSA,SDU,2025-01-10,2025-03-11,60,509.02
CWB,VCP,2024-12-03,2025-01-03,31,298.71
BSB,CWB,2025-01-18,2025-03-17,58,368.94
BSB,FOR,2024-11-07,2025-02-05,90,395.75
REC,BSB,2025-04-18,2025-05-18,30,977.92
FOR,NAT,2024-09-28,2024-11-14,47,661.78
REC,FOR,2025-04-30,2025-06-24,55,294.39
REC,BEL,2024-12-16,2025-02-03,49,1011.76
FLN,POA,2025-01-21,2025-04-13,82,290.91
GRU,REC,2024-10-23,2025-01-03,72,254.77
GRU,SSA,2024-12-15,2024-12-19,4,426.12
BSB,POA,2025-04-21,2025-06-13,53,460.63
SDU,CGH,2024-10-08,2024-11-07,30,185.77
REC,CGH,2025-08-25,2025-10-02,38,498.2
GRU,BSB,2025-09-04,2025-09-07,3,351.98
FLN,VCP,2025-05-02,2025-07-07,66,336.1
BEL,CWB,2024-11-27,2024-12-20,23,480.81
GRU,REC,2024-12-27,2025-02-14,49,990.24
FOR,REC,2025-09-03,2025-11-29,87,762.12
POA,BSB,2025-03-19,2025-06-13,86,1046.72
POA,BEL,2025-04-02,2025-05-09,37,614.28
REC,SDU,2025-07-11,2025-09-04,55,366.47
CGH,CWB,2024-10-19,2024-12-12,54,785.2
FLN,FOR,2025-04-10,2025-04-16,6,316.16
CGB,POA,2024-12-22,2025-01-29,38,319.17
FOR,BSB,2025-07-06,2025-08-28,53,382.51
GIG,POA,2025-07-19,2025-10-14,87,539.43
SDU,POA,2025-06-08,2025-06-10,2,1076.54
VCP,CWB,2025-02-14,2025-02-21,7,667.17
FOR,GRU,2025-02-02,2025-03-24,50,1057.86
SSA,GIG,2024-11-09,2025-02-07,90,463.19
FLN,CWB,2024-10-10,2024-12-29,80,618.7
FOR,NAT,2025-03-06,2025-03-30,24,735.17
CWB,FLN,2024-10-02,2024-12-16,75,790.03
POA,REC,2024-10-25,2024-11-23,29,181.13
POA,SDU,2025-08-03,2025-09-17,45,270.91
SSA,CGH,2024-12-11,2025-02-03,54,456.85
GRU,GIG,2024-10-02,2024-10-07,5,361.03
GRU,NAT,2025-03-13,2025-03-31,18,942.09
VCP,POA,2025-01-26,2025-03-30,63,926.3
POA,VCP,2025-02-23,2025-05-20,86,921.14
BEL,VCP,2024-12-23,2025-02-08,47,554.89
POA,FOR,2024-12-12,2025-01-10,29,813.1
GIG,REC,2025-05-16,2025-07-22,67,552.34
REC,POA,2025-01-28,2025-03-10,41,436.68
CGH,FOR,2024-11-26,2025-02-18,84,319.87
CGH,FOR,2024-12-08,2025-02-04,58,354.95
SSA,CGB,2024-11-30,2024-12-04,4,416.44
CWB,CGB,2024-12-28,2025-02-13,47,833.57
REC,GIG,2025-07-26,2025-10-11,77,274.42
NAT,POA,2025-06-11,2025-08-31,81,479.77
NAT,BEL,2024-09-08,2024-11-13,66,328.48
BEL,BSB,2025-03-15,2025-04-04,20,263.02
SDU,BEL,2025-03-27,2025-05-18,52,833.66
SSA,POA,2024-09-25,2024-12-12,78,409.94
GRU,NAT,2025-04-04,2025-06-19,76,601.72
VCP,CGB,2024-12-18,2025-01-06,19,538.56
REC,NAT,2025-07-08,2025-09-25,79,748.07
SSA,VCP,2025-02-04,2025-03-04,28,493.78
SSA,REC,2025-05-22,2025-07-11,50,397.64
NAT,POA,2024-12-21,2025-01-02,12,606.04
NAT,SDU,2025-06-19,2025-07-02,13,289.61
CGB,SDU,2025-04-06,2025-04-30,24,727.09
BSB,VCP,2024-09-28,2024-11-29,62,672.7
NAT,REC,2025-07-17,2025-08-17,31,507.99
CWB,FLN,2024-11-17,2024-12-29,42,238.76
GRU,FOR,2024-10-18,2024-11-12,25,321.34
GIG,FOR,2025-05-03,2025-06-18,46,621.74
SSA,GIG,2025-06-07,2025-07-13,36,316.99
CWB,BSB,2024-10-29,2025-01-23,86,914.98
REC,SDU,2025-08-10,2025-10-16,67,586.62
GIG,BEL,2024-10-12,2024-12-30,79,269.6
SSA,SDU,2024-10-10,2024-11-10,31,602.6
CWB,BSB,2024-11-09,2025-01-09,61,452.89
BEL,CWB,2024-10-02,2024-10-25,23,1117.11
CWB,CGH,2024-10-25,2024-12-06,42,439.61
CGB,GRU,2025-02-26,2025-05-24,87,684.56
BSB,CGB,2025-05-30,2025-08-12,74,208.98
FLN,VCP,2024-11-12,2025-02-06,86,728.3
SSA,REC,2024-10-24,2025-01-03,71,567.72
VCP,POA,2025-03-01,2025-05-30,90,252.9
GIG,NAT,2025-02-06,2025-02-14,8,646.88
FOR,GRU,2025-03-15,2025-04-26,42,488.03
FOR,SSA,2025-08-07,2025-10-15,69,797.29
FOR,BSB,2025-03-05,2025-04-01,27,851.13
FOR,BEL,2024-10-19,2024-12-17,59,971.37
VCP,NAT,2024-12-10,2024-12-12,2,734.28
BSB,BEL,2024-12-25,2025-03-12,77,287.83
SDU,CWB,2024-09-27,2024-11-10,44,465.74
SDU,CGB,2025-01-14,2025-03-28,73,831.6
CGB,GRU,2025-02-09,2025-03-26,45,297.51
BEL,GRU,2025-04-18,2025-07-07,80,1154.04
FOR,CWB,2025-02-07,2025-02-22,15,290.09
CWB,SSA,2025-09-03,2025-11-23,81,487.16
FOR,SSA,2025-07-21,2025-07-24,3,515.75
POA,REC,2025-02-02,2025-04-06,63,584.88
FLN,GRU,2025-06-13,2025-07-18,35,465.88
VCP,CGB,2025-01-16,2025-03-10,53,482.14
SSA,SDU,2024-12-10,2025-01-28,49,513.18
POA,CGH,2025-01-19,2025-03-28,68,728.84
CGB,REC,2025-03-02,2025-05-21,80,580.75
SSA,FLN,2025-04-11,2025-06-14,64,793.41
SDU,CGB,2025-03-20,2025-05-05,46,336.72
CWB,REC,2025-02-27,2025-04-13,45,449.23
REC,CGH,2025-02-15,2025-04-08,52,429.58
CGB,REC,2025-05-08,2025-07-04,57,869.22
CGH,GIG,2025-06-26,2025-09-20,86,358.29
FLN,POA,2025-07-03,2025-08-26,54,837.62
CWB,GRU,2025-05-08,2025-07-09,62,423.02
NAT,SDU,2024-11-02,2024-12-18,46,614.71
REC,CWB,2025-02-08,2025-03-05,25,326.38
BEL,BSB,2024-09-13,2024-10-10,27,268.64
SDU,VCP,2025-08-26,2025-11-08,74,831.55
GRU,POA,2025-06-15,2025-06-16,1,743.93
GRU,BSB,2025-06-06,2025-08-20,75,249.69
POA,FOR,2024-12-20,2025-02-12,54,304.49
REC,CGH,2025-03-07,2025-05-10,64,1035.12
BSB,REC,2025-05-05,2025-05-26,21,301.12
CGH,CGB,2025-06-07,2025-06-26,19,563.45
REC,FLN,2025-07-04,2025-07-26,22,220.29
POA,BSB,2024-11-17,2024-11-28,11,379.66
VCP,FOR,2025-05-19,2025-07-24,66,941.61
SDU,CGB,2024-12-25,2025-02-16,53,515.08
CGH,SDU,2024-10-12,2024-12-24,73,437.67
REC,GIG,2025-06-22,2025-08-28,67,468.42
SSA,GRU,2024-10-11,2024-10-25,14,343.52
CWB,VCP,2025-07-09,2025-08-16,38,873.59
FLN,SDU,2025-05-07,2025-07-11,65,609.87
CGB,FOR,2025-01-20,2025-03-14,53,353.41
REC,GIG,2024-12-03,2025-02-02,61,953.29
CGB,CWB,2025-01-18,2025-02-22,35,484.33
VCP,CGH,2025-04-30,2025-06-13,44,617.7
VCP,NAT,2025-01-06,2025-01-16,10,1045.04
GRU,CGB,2025-07-19,2025-07-31,12,224.03
CWB,BSB,2024-10-14,2024-11-29,46,754.81
FOR,VCP,2025-05-17,2025-08-05,80,530.48
CWB,SDU,2025-04-27,2025-05-26,29,949.91
NAT,FOR,2025-08-17,2025-10-24,68,375.08
NAT,FOR,2024-09-07,2024-12-03,87,251.74
POA,SDU,2025-07-18,2025-10-13,87,749.08
NAT,BEL,2025-08-02,2025-08-12,10,814.16
POA,REC,2025-04-22,2025-07-03,72,849.09
CGB,GIG,2025-03-10,2025-03-22,12,465.88
CGH,NAT,2024-10-13,2024-10-14,1,638.21
VCP,SSA,2024-10-26,2024-12-24,59,305.67
GIG,SSA,2025-07-21,2025-10-05,76,523.31
CGH,CWB,2025-01-30,2025-02-28,29,814.86
VCP,FOR,2025-05-19,2025-07-21,63,551.69
CGB,POA,2025-01-14,2025-03-03,48,888.32
SDU,FLN,2025-02-10,2025-02-17,7,770.53
SDU,VCP,2025-08-02,2025-09-24,53,675.75
CGB,VCP,2025-08-12,2025-10-15,64,764.09
BSB,FLN,2025-07-07,2025-09-27,82,607.89
SDU,VCP,2025-01-31,2025-02-15,15,445.82
SSA,CGH,2024-09-13,2024-12-11,89,975.24
SSA,VCP,2025-04-11,2025-04-27,16,272.23
FLN,POA,2025-03-12,2025-05-06,55,643.01
FLN,REC,2025-08-24,2025-09-15,22,766.16
GIG,GRU,2024-11-01,2025-01-11,71,280.53
FLN,POA,2025-05-15,2025-05-30,15,719.09
GIG,BSB,2025-04-28,2025-06-17,50,918.78
CGH,NAT,2024-11-21,2025-01-09,49,929.95
BSB,BEL,2024-09-29,2024-10-10,11,921.26
BEL,POA,2025-08-29,2025-11-09,72,769.93
NAT,POA,2025-03-12,2025-04-21,40,980.18
CGH,GRU,2025-08-14,2025-09-06,23,487.66
GRU,CGH,2025-03-20,2025-06-03,75,857.54
NAT,GRU,2025-01-06,2025-02-16,41,502.12
NAT,BSB,2025-02-12,2025-04-10,57,323.93
CGB,GRU,2024-12-24,2024-12-27,3,906.48
GIG,SSA,2024-12-16,2025-01-18,33,1013.47
GIG,GRU,2025-03-09,2025-04-26,48,252.64
CWB,SSA,2025-04-22,2025-07-06,75,378.21
VCP,NAT,2024-11-04,2025-01-25,82,247.23
GIG,CWB,2025-06-12,2025-08-17,66,715.26
GIG,FOR,2025-06-26,2025-08-17,52,211.91
FLN,SDU,2024-10-05,2024-11-01,27,567.21
